"iso_3166","iso_3166_2","period_start_date","period_end_date","disease","nesting_disease","basal_disease","cases_this_period","location","location_type","time_scale","historical_disease","historical_disease_family","historical_disease_subclass","days_this_period","period_mid_date","population","record_origin","original_dataset_id","digitization_id","scan_id"
"CA","CA-ON","1973-04-08","1973-04-14","measles","","measles",30,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-04-11",8109757,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p1"
"CA","CA-ON","1973-04-15","1973-04-21","measles","","measles",49,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-04-18",8112226,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p1"
"CA","CA-ON","1973-04-22","1973-04-28","measles","","measles",71,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-04-25",8114694,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-04-29","1973-05-05","measles","","measles",61,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-05-02",8117163,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-05-06","1973-05-12","measles","","measles",54,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-05-09",8119632,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-05-13","1973-05-19","measles","","measles",95,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-05-16",8122101,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-05-20","1973-05-26","measles","","measles",111,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-05-23",8124569,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-05-27","1973-06-02","measles","","measles",75,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-05-30",8127038,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-06-03","1973-06-09","measles","","measles",151,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-06-06",8129507,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-06-10","1973-06-16","measles","","measles",115,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-06-13",8131976,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-06-17","1973-06-23","measles","","measles",73,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-06-20",8134444,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-06-24","1973-06-30","measles","","measles",129,"ONT.","province","wk","measles","","",7,"1973-06-27",8136913,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1973-07-01","1973-07-07","measles","","measles",129,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-07-04",8139382,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-07-08","1973-07-14","measles","","measles",47,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-07-11",8141851,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-07-15","1973-07-21","measles","","measles",26,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-07-18",8144319,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-07-22","1973-07-28","measles","","measles",34,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-07-25",8146788,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-07-29","1973-08-04","measles","","measles",18,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-08-01",8149257,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-08-05","1973-08-11","measles","","measles",40,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-08-08",8151726,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-08-12","1973-08-18","measles","","measles",39,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-08-15",8154195,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p2"
"CA","CA-ON","1973-08-19","1973-08-25","measles","","measles",21,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-08-22",8156663,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-08-26","1973-09-01","measles","","measles",29,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-08-29",8159132,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-09-02","1973-09-08","measles","","measles",12,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-09-05",8161601,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-09-09","1973-09-15","measles","","measles",26,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-09-12",8164070,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-09-16","1973-09-22","measles","","measles",14,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-09-19",8166538,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-09-23","1973-09-29","measles","","measles",18,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-09-26",8169007,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-09-30","1973-10-06","measles","","measles",28,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-10-03",8171476,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-10-07","1973-10-13","measles","","measles",21,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-10-10",8173945,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-10-14","1973-10-20","measles","","measles",59,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-10-17",8176413,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-10-21","1973-10-27","measles","","measles",73,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-10-24",8178882,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-10-28","1973-11-03","measles","","measles",138,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-10-31",8181351,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-11-04","1973-11-10","measles","","measles",34,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-11-07",8183820,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-11-11","1973-11-17","measles","","measles",77,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-11-14",8186288,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-11-18","1973-11-24","measles","","measles",26,"ONT.","province","wk","measles","","",7,"1973-11-21",8188757,"historical","cdi_on_1939-1989_wk","cdi_mort_on_1939-1989_wk","cdi_mort_on_1939-1969_wk"
"CA","CA-ON","1973-11-25","1973-12-01","measles","","measles",26,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-11-28",8191226,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-12-02","1973-12-08","measles","","measles",148,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-12-05",8193695,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-12-09","1973-12-15","measles","","measles",32,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-12-12",8196163,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-12-16","1973-12-22","measles","","measles",69,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-12-19",8198632,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-12-23","1973-12-29","measles","","measles",43,"Ontario","province","wk","Measles","Other virus diseases","",7,"1973-12-26",8201101,"historical","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov","cdi_ca_1973_wk_prov_dbs_p3"
"CA","CA-ON","1973-12-30","1974-01-05","measles","","measles",111,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-01-02",8203570,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part1"
"CA","CA-ON","1974-01-06","1974-01-12","measles","","measles",68,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-01-09",8205857,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part1"
"CA","CA-ON","1974-01-13","1974-01-19","measles","","measles",49,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-01-16",8208073,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part1"
"CA","CA-ON","1974-01-20","1974-01-26","measles","","measles",108,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-01-23",8210288,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part1"
"CA","CA-ON","1974-01-27","1974-02-02","measles","","measles",28,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-01-30",8212504,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part1"
"CA","CA-ON","1974-02-03","1974-02-09","measles","","measles",119,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-02-06",8214719,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part1"
"CA","CA-ON","1974-02-10","1974-02-16","measles","","measles",156,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-02-13",8216935,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part1"
"CA","CA-ON","1974-02-17","1974-02-23","measles","","measles",58,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-02-20",8219150,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part1"
"CA","CA-ON","1974-02-24","1974-03-02","measles","","measles",74,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-02-27",8221366,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part1"
"CA","CA-ON","1974-03-03","1974-03-09","measles","","measles",138,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-03-06",8223581,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part1"
"CA","CA-ON","1974-03-10","1974-03-16","measles","","measles",68,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-03-13",8225797,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part1"
"CA","CA-ON","1974-03-17","1974-03-23","measles","","measles",62,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-03-20",8228012,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part1"
"CA","CA-ON","1974-03-24","1974-03-30","measles","","measles",84,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-03-27",8230227,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part2"
"CA","CA-ON","1974-03-31","1974-04-06","measles","","measles",92,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-04-03",8232443,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part2"
"CA","CA-ON","1974-04-07","1974-04-13","measles","","measles",122,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-04-10",8234658,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part2"
"CA","CA-ON","1974-04-14","1974-04-20","measles","","measles",30,"Ontario","province","wk","Measles","Other virus diseases","",7,"1974-04-17",8236874,"historical","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_prov","cdi_ca_1974_wk_province_dbs_Part2"
