"iso_3166","iso_3166_2","period_start_date","period_end_date","disease","nesting_disease","basal_disease","cases_this_period","location","location_type","time_scale","historical_disease","historical_disease_family","historical_disease_subclass","days_this_period","period_mid_date","population","record_origin","original_dataset_id","digitization_id","scan_id"
"CA","CA-ON","2011-11-20","2011-11-26","influenza","","influenza",5,"ONT.","province","wk","influenza","","",7,"2011-11-23",13375759,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2011-11-27","2011-12-03","influenza","","influenza",5,"ONT.","province","wk","influenza","","",7,"2011-11-30",13378238,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2011-12-04","2011-12-10","influenza","","influenza",12,"ONT.","province","wk","influenza","","",7,"2011-12-07",13380717,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2011-12-11","2011-12-17","influenza","","influenza",13,"ONT.","province","wk","influenza","","",7,"2011-12-14",13383196,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2011-12-18","2011-12-24","influenza","","influenza",18,"ONT.","province","wk","influenza","","",7,"2011-12-21",13385674,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2011-12-25","2011-12-31","influenza","","influenza",31,"ONT.","province","wk","influenza","","",7,"2011-12-28",13388153,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-01-01","2012-01-07","influenza","","influenza",37,"ONT.","province","wk","influenza","","",7,"2012-01-04",13390632,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-01-08","2012-01-14","influenza","","influenza",38,"ONT.","province","wk","influenza","","",7,"2012-01-11",13392930,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-01-15","2012-01-21","influenza","","influenza",54,"ONT.","province","wk","influenza","","",7,"2012-01-18",13395228,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-01-22","2012-01-28","influenza","","influenza",62,"ONT.","province","wk","influenza","","",7,"2012-01-25",13397526,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-01-29","2012-02-04","influenza","","influenza",112,"ONT.","province","wk","influenza","","",7,"2012-02-01",13399824,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-02-05","2012-02-11","influenza","","influenza",162,"ONT.","province","wk","influenza","","",7,"2012-02-08",13402122,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-02-12","2012-02-18","influenza","","influenza",203,"ONT.","province","wk","influenza","","",7,"2012-02-15",13404420,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-02-19","2012-02-25","influenza","","influenza",305,"ONT.","province","wk","influenza","","",7,"2012-02-22",13406718,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-02-26","2012-03-03","influenza","","influenza",437,"ONT.","province","wk","influenza","","",7,"2012-02-29",13409015,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-03-04","2012-03-10","influenza","","influenza",536,"ONT.","province","wk","influenza","","",7,"2012-03-07",13411313,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-03-11","2012-03-17","influenza","","influenza",558,"ONT.","province","wk","influenza","","",7,"2012-03-14",13413611,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-03-18","2012-03-24","influenza","","influenza",340,"ONT.","province","wk","influenza","","",7,"2012-03-21",13415909,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-03-25","2012-03-31","influenza","","influenza",163,"ONT.","province","wk","influenza","","",7,"2012-03-28",13418207,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
